"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 1679"
"Start Time: 2/5/2020 10:35:41.853 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"323","0.323","-0.65459870"
"324","0.324","-0.87695196"
"325","0.325","-1.05896965"
"326","0.326","-1.18503347"
"327","0.327","-1.26327388"
"328","0.328","-1.36969611"
"329","0.329","-1.55663118"
"330","0.330","-1.78001821"
"331","0.331","-1.92845240"
"332","0.332","-1.95126981"
"333","0.333","-1.90762803"
"334","0.334","-1.84052624"
"335","0.335","-1.76965259"
"336","0.336","-1.71604566"
"337","0.337","-1.64606608"
"338","0.338","-1.55298039"
"339","0.339","-1.42394565"
"340","0.340","-1.24728307"
"341","0.341","-1.02857128"
"342","0.342","-0.78842975"
"343","0.343","-0.53901225"
"344","0.344","-0.29508024"
"345","0.345","-0.05237758"
"346","0.346","0.19956380"
"347","0.347","0.46311878"
"348","0.348","0.73390082"
"349","0.349","0.98339282"
"350","0.350","1.19210221"
"351","0.351","1.33668073"
"352","0.352","1.45546161"
"353","0.353","1.62897632"
"354","0.354","1.86980702"
"355","0.355","2.15479173"
"356","0.356","2.39935704"
"357","0.357","2.57464126"
"358","0.358","2.66248360"
"359","0.359","2.67878175"
"360","0.360","2.65642069"
"361","0.361","2.62447633"
"362","0.362","2.60863453"
"363","0.363","2.58293003"
"364","0.364","2.51381658"
"365","0.365","2.41348520"
"366","0.366","2.26825476"
"367","0.367","2.09670514"
"368","0.368","1.91249885"
"369","0.369","1.71418302"
"370","0.370","1.51231885"
"371","0.371","1.28922984"
"372","0.372","1.05865300"
"373","0.373","0.82252547"
"374","0.374","0.60245395"
"375","0.375","0.39342791"
"376","0.376","0.17907470"
"377","0.377","-0.02997927"
"378","0.378","-0.22209249"
"379","0.379","-0.37376769"
"380","0.380","-0.47860667"
"381","0.381","-0.54465607"
"382","0.382","-0.57908706"
"383","0.383","-0.58627687"
"384","0.384","-0.58404170"
"385","0.385","-0.57825819"
"386","0.386","-0.59163198"
"387","0.387","-0.68631023"
"388","0.388","-0.79475343"
"389","0.389","-0.84873289"
"390","0.390","-0.81700273"
"391","0.391","-0.70493668"
"392","0.392","-0.58155507"
"393","0.393","-0.48859045"
"394","0.394","-0.44007786"
"395","0.395","-0.42318366"
"396","0.396","-0.38883649"
"397","0.397","-0.30505471"
"398","0.398","-0.16965903"
"399","0.399","0.00536442"
"400","0.400","0.18811785"
"401","0.401","0.34366734"
"402","0.402","0.46076253"
"403","0.403","0.54745935"
"404","0.404","0.61527826"
"405","0.405","0.67953952"
"406","0.406","0.76225027"
"407","0.407","0.89293346"
"408","0.408","1.04465522"
"409","0.409","1.16646290"
"410","0.410","1.23332255"
"411","0.411","1.28559768"
"412","0.412","1.35792419"
"413","0.413","1.39642507"
"414","0.414","1.44437887"
"415","0.415","1.50720589"
"416","0.416","1.51553191"
"417","0.417","1.51937827"
"418","0.418","1.49982981"
"419","0.419","1.45206228"
"420","0.420","1.40845776"
"421","0.421","1.36981718"
"422","0.422","1.33798458"
"423","0.423","1.30758621"
"424","0.424","1.25910155"
"425","0.425","1.18976459"
"426","0.426","1.10261142"
"427","0.427","1.00522302"
"428","0.428","0.90849586"
"429","0.429","0.81489794"
"430","0.430","0.73584728"
"431","0.431","0.65119006"
"432","0.432","0.55932440"
"433","0.433","0.47372654"
"434","0.434","0.39547682"
"435","0.435","0.32890588"
"436","0.436","0.27113594"
"437","0.437","0.21887943"
"438","0.438","0.16782433"
"439","0.439","0.11553057"
"440","0.440","0.06903894"
"441","0.441","0.04041009"
"442","0.442","0.02873130"
"443","0.443","0.03567897"
"444","0.444","0.05302951"
"445","0.445","0.07533468"
"446","0.446","0.09189360"
"447","0.447","0.10251068"
"448","0.448","0.11062250"
"449","0.449","0.12461096"
"450","0.450","0.15293248"
"451","0.451","0.19200146"
"452","0.452","0.22660941"
"453","0.453","0.25750138"
"454","0.454","0.27644448"
"455","0.455","0.28535724"
"456","0.456","0.30177645"
"457","0.457","0.32435171"
"458","0.458","0.38064085"
"459","0.459","0.45573339"
"460","0.460","0.52335672"
"461","0.461","0.57724304"
"462","0.462","0.61034225"
"463","0.463","0.64954162"
"464","0.464","0.71993098"
"465","0.465","0.80373138"
"466","0.466","0.88502653"
"467","0.467","0.95735304"
"468","0.468","1.00051984"
"469","0.469","1.02879480"
"470","0.470","1.04354694"
"471","0.471","1.05060637"
"472","0.472","1.06385909"
"473","0.473","1.08754262"
"474","0.474","1.10449269"
"475","0.475","1.10909343"
"476","0.476","1.09674409"
"477","0.477","1.07280910"
"478","0.478","1.04097649"
"479","0.479","1.01765618"
"480","0.480","0.99875033"
"481","0.481","0.97735785"
"482","0.482","0.94337389"
"483","0.483","0.90797432"
"484","0.484","0.86091459"
"485","0.485","0.81527047"
"486","0.486","0.76901168"
"487","0.487","0.72224997"
"488","0.488","0.67961402"
"489","0.489","0.63388608"
"490","0.490","0.58572739"
"491","0.491","0.53311698"
"492","0.492","0.48598275"
"493","0.493","0.44590794"
"494","0.494","0.41946769"
"495","0.495","0.39826147"
"496","0.496","0.38115308"
"497","0.497","0.36542304"
"498","0.498","0.35284087"
"499","0.499","0.34541823"
"500","0.500","0.34525059"
"501","0.501","0.34563243"
"502","0.502","0.34839846"
"503","0.503","0.35080127"
"504","0.504","0.35301782"
"505","0.505","0.35976060"
"506","0.506","0.36800280"
"507","0.507","0.38029626"
"508","0.508","0.39518811"
"509","0.509","0.41049905"
"510","0.510","0.42010099"
"511","0.511","0.42418018"
"512","0.512","0.42234547"
"513","0.513","0.42992644"
"514","0.514","0.45271590"
"515","0.515","0.48048794"
"516","0.516","0.51668845"
"517","0.517","0.54804608"
"518","0.518","0.56734309"
"519","0.519","0.57947822"
"520","0.520","0.58886595"
"521","0.521","0.59925020"
"522","0.522","0.61616302"
"523","0.523","0.63478947"
"524","0.524","0.64935535"
"525","0.525","0.65918081"
"526","0.526","0.65930188"
"527","0.527","0.65436587"
"528","0.528","0.65183267"
"529","0.529","0.65070577"
"530","0.530","0.65461732"
"531","0.531","0.65883622"
"532","0.532","0.66057779"
"533","0.533","0.65737404"
"534","0.534","0.65134838"
"535","0.535","0.64752996"
"536","0.536","0.64523891"
"537","0.537","0.64514577"
"538","0.538","0.64533204"
"539","0.539","0.64791180"
"540","0.540","0.64829364"
"541","0.541","0.64675696"
"542","0.542","0.64400025"
"543","0.543","0.64182095"
"544","0.544","0.63993037"
"545","0.545","0.63865446"
"546","0.546","0.63573010"
"547","0.547","0.63273124"
"548","0.548","0.62910840"
"549","0.549","0.62341802"
"550","0.550","0.62387437"
"551","0.551","0.62630512"
"552","0.552","0.62756240"
"553","0.553","0.62950887"
"554","0.554","0.62974170"
"555","0.555","0.62923878"
"556","0.556","0.62840991"
"557","0.557","0.62552281"
"558","0.558","0.62733889"
"559","0.559","0.62688254"
"560","0.560","0.63019805"
"561","0.561","0.63252635"
"562","0.562","0.63315034"
"563","0.563","0.62968582"
"564","0.564","0.62851235"
"565","0.565","0.62754378"
"566","0.566","0.62713400"
"567","0.567","0.62877312"
"568","0.568","0.62958337"
"569","0.569","0.62879175"
"570","0.570","0.62921084"
"571","0.571","0.62660314"
"572","0.572","0.62756240"
"573","0.573","0.62716193"
"574","0.574","0.62546693"
"575","0.575","0.62500127"
"576","0.576","0.62515959"
"577","0.577","0.62399544"
"578","0.578","0.62291510"
"579","0.579","0.62260777"
"580","0.580","0.62113628"
"581","0.581","0.62168576"
"582","0.582","0.62004663"
"583","0.583","0.62227249"
"584","0.584","0.62206760"
"585","0.585","0.62112696"
"586","0.586","0.62157400"
"587","0.587","0.62202103"
"588","0.588","0.62052161"
"589","0.589","0.62041916"
"590","0.590","0.62021427"
"591","0.591","0.62119216"
"592","0.592","0.62068924"
"593","0.593","0.62229112"
"594","0.594","0.62111765"
"595","0.595","0.62024221"
